"","eventID","eventID.temp","eventIDnew","response.eventID","event.start.ts","event.end.ts","event.dur","event.Q.tot.m3","event.baseflow.tot.m3","event.quickflow.tot.m3","rain.start.ts","rain.eventn","rain.mean","rain.peak.mm.h","rain.peak.ts","rain.tot.mm","rain.dur","init.rain.mean","init.rain.peak.mm.h","init.rain.peak.ts","init.rain.centroid.ts","init.rain.tot.mm","init.rain.dur","Q.response.start.ts","Q.response.end.ts","Q.response.dur","Q.response.tot.m3","Q.response.base.m3","Q.response.quick.m3","Q.nopeaks","Q.peak.m3.s","Q.peak.ts","Q.peak.rank","Q.QXX","lag.start.dur","lag.peak.dur","lag.peakinit.dur","rlimb.dur","flimb.dur","rlimb.rain","interevent.dur","interevent.rainfall.tot.mm","interevent.Q.median","anti.rain.mm3h","anti.rain.mm6h","anti.rain.mm12h","anti.rain.mm24h","anti.rain.mm5d","anti.rain.mm30d","Q.dur","quickflow.start.ts","quickflow.end.ts","quickflow.dur","check.outlier1","check.outlier2","check.outlier3","check.manual"
"11",11,11,11,NA,2015-12-14 05:00:00,2015-12-14 20:45:00,56700s (~15.75 hours),2534.2359129,1762.88925419512,771.346658704882,2015-12-14 05:00:00,1,0.31365266678125,1.86909915,2015-12-14 11:00:00,5.0184426685,32400s (~9 hours),0.590338797176471,1.86909915,2015-12-14 11:00:00,2015-12-14 08:45:00,5.017879776,29700s (~8.25 hours),2015-12-14 07:30:00,2015-12-14 20:45:00,47700s (~13.25 hours),2243.9158659,1490.52088428459,753.394981615406,1,0.07152459,2015-12-14 11:45:00,0.656,"Q35",9000,2700,2700,15300s (~4.25 hours),32400s (~9 hours),4.74908771475,197100s (~2.28 days),0.123521618,0.030817703,0.02949017225,0.02949017225,0.02949017225,0.02949017225,3.99395046275,68.50796723225,56700,1450069200,1450125900,56700,NA,FALSE,FALSE,FALSE
"12",12,12,12,NA,2015-12-15 08:45:00,2015-12-16 03:00:00,65700s (~18.25 hours),3144.4628544,2115.73730048988,1028.72555391012,2015-12-15 08:45:00,3,0.360942138283784,8.223537445,2015-12-15 11:30:00,6.67742955825,38700s (~10.75 hours),1.25336302794737,8.223537445,2015-12-15 11:30:00,2015-12-15 11:30:00,5.95347438275,16200s (~4.5 hours),2015-12-15 11:45:00,2015-12-16 03:00:00,54900s (~15.25 hours),2811.4954002,1782.76984628988,1028.72555391012,1,0.140816281,2015-12-15 13:15:00,0.795,"Q25",10800,6300,6300,5400s (~1.5 hours),49500s (~13.75 hours),5.95347438275,41400s (~11.5 hours),0.46446030625,0.032291437,0.01618789325,0.17166154875,0.4806481995,3.29378541675,9.35551224225,73.977567928,65700,1450169100,1450234800,65700,NA,FALSE,FALSE,FALSE
"13",13,13,13,NA,2015-12-17 06:45:00,2015-12-18 00:30:00,63900s (~17.75 hours),2768.7846807,2109.26959959358,659.515081106421,2015-12-17 06:45:00,2,0.301421971680556,3.796441873,2015-12-17 11:15:00,5.42559549025,21600s (~6 hours),1.0809103721,3.796441873,2015-12-17 11:15:00,2015-12-17 10:30:00,5.4045518605,17100s (~4.75 hours),2015-12-17 07:00:00,2015-12-18 00:30:00,63000s (~17.5 hours),2739.2896557,2080.60032783679,658.689327863214,1,0.079836,2015-12-17 12:30:00,0.684,"Q35",900,4500,4500,19800s (~5.5 hours),43200s (~12 hours),5.4045518605,98100s (~1.14 days),0.12112774875,0.031707854,0.23156054075,0.23156054075,0.23156054075,0.286105742,12.5456780535,80.9914978825,63900,1450334700,1450398600,63900,NA,FALSE,FALSE,FALSE
"14",14,14,14,NA,2015-12-18 20:15:00,2015-12-20 03:30:00,112500s (~1.3 days),5178.2307372,4181.234538424,996.996198776,2015-12-18 20:15:00,4,0.23852716668254,4.055808435,2015-12-19 19:45:00,7.5136057505,60300s (~16.75 hours),0.121518006090909,0.333048731,2015-12-18 22:30:00,2015-12-18 22:00:00,0.33417451675,9000s (~2.5 hours),2015-12-18 21:15:00,2015-12-20 03:30:00,108900s (~1.26 days),5044.4075763,4052.69837483264,991.709201467364,2,0.058073556,2015-12-19 10:00:00,0.606,"Q40",3600,-35100,41400,45900s (~12.75 hours),63000s (~17.5 hours),2.607967763,69300s (~19.25 hours),0.119439071,0.0364172315,0.013512576,0.013512576,0.0386387545,0.14906838975,17.83972597275,84.29378205475,112500,1450469700,1450582200,112500,NA,FALSE,FALSE,FALSE
"15",15,15,15,NA,2015-12-22 09:15:00,2015-12-22 23:45:00,52200s (~14.5 hours),2465.6059323,1963.94083052786,501.66510177214,2015-12-22 09:15:00,1,0.187934469,1.382323851,2015-12-22 16:15:00,2.77203341775,38700s (~10.75 hours),0.25275018355814,1.382323851,2015-12-22 16:15:00,2015-12-22 15:30:00,2.71706447325,37800s (~10.5 hours),2015-12-22 13:15:00,2015-12-22 23:45:00,37800s (~10.5 hours),1914.8501709,1438.52287157783,476.32729932217,1,0.065118509,2015-12-22 17:45:00,0.634,"Q40",14400,5400,5400,16200s (~4.5 hours),21600s (~6 hours),2.5667959925,191700s (~2.22 days),5.41574166275,0.037579638,0.02808294075,0.08945715425,0.9225090245,2.68123383875,16.97318189075,75.2109348265,52200,1450775700,1450827900,52200,NA,FALSE,FALSE,FALSE
"16",16,16,16,NA,2015-12-23 12:00:00,2015-12-24 15:45:00,99900s (~1.16 days),5354.5570128,3837.11341475252,1517.44359804748,2015-12-23 12:00:00,3,0.400197889901786,5.955240409,2015-12-24 06:45:00,11.20554091725,42300s (~11.75 hours),0.968716546,4.519163489,2015-12-23 12:30:00,2015-12-23 12:15:00,1.6952539555,5400s (~1.5 hours),2015-12-23 18:00:00,2015-12-24 15:45:00,78300s (~21.75 hours),4536.0567666,3034.63976119339,1501.41700540661,1,0.113992789,2015-12-24 08:45:00,0.754,"Q25",21600,7200,72900,53100s (~14.75 hours),25200s (~7 hours),10.96751026925,42300s (~11.75 hours),0.02195911875,0.0367248735,0.0534225665,0.0534225665,0.0707362445,2.4112511775,15.77239852175,77.216851499,99900,1450872000,1450971900,99900,NA,FALSE,FALSE,FALSE
"17",17,17,17,NA,2015-12-25 05:15:00,2015-12-26 00:45:00,70200s (~19.5 hours),4027.4854155,3066.88590572938,960.599509770621,2015-12-25 05:15:00,3,0.143723628265823,2.505059679,2015-12-25 07:00:00,2.83854165825,41400s (~11.5 hours),0.283563104297297,2.505059679,2015-12-25 07:00:00,2015-12-25 07:00:00,2.62295871475,32400s (~9 hours),2015-12-25 07:00:00,2015-12-26 00:45:00,63900s (~17.75 hours),3762.8954406,2807.83635297433,955.059087625669,1,0.072863031,2015-12-25 09:45:00,0.661,"Q35",6300,9900,9900,9900s (~2.75 hours),54000s (~15 hours),2.3462118575,46800s (~13 hours),0.313418654,0.041379171,0.06827122525,0.18637421775,0.18637421775,6.56883725025,19.79696499575,83.16473802675,70200,1451020500,1451090700,70200,NA,FALSE,FALSE,FALSE
"18",18,18,18,NA,2015-12-25 22:45:00,2015-12-27 20:00:00,162900s (~1.89 days),10605.581901,8306.79218016316,2298.78972083684,2015-12-25 22:45:00,2,0.223884381049451,6.799015681,2015-12-27 01:45:00,10.18673933775,39600s (~11 hours),0.0533514155,0.09741195,2015-12-25 23:00:00,2015-12-25 22:45:00,0.02667570775,900s (~15 minutes),2015-12-26 18:15:00,2015-12-27 20:00:00,92700s (~1.07 days),6814.3513266,4899.26997701535,1915.08134958465,2,0.11580589,2015-12-27 03:15:00,0.758,"Q25",70200,5400,101700,32400s (~9 hours),60300s (~16.75 hours),5.8452440965,9000s (~2.5 hours),0.02667570775,0.053492753,0.0309685535,0.191229956,0.418779093,2.93229166325,20.92626415025,85.18377753175,162900,1451083500,1451246400,162900,NA,TRUE,FALSE,FALSE
"19",19,19,19,NA,2015-12-29 16:00:00,2015-12-31 00:45:00,117900s (~1.36 days),12764.0533815,6496.39270355273,6267.66067794726,2015-12-29 16:00:00,3,0.434714484583333,7.013250271,2015-12-30 10:45:00,14.34557799125,92700s (~1.07 days),0.500590064885714,7.013250271,2015-12-30 10:45:00,2015-12-30 10:30:00,13.14048920325,93600s (~1.08 days),2015-12-29 19:30:00,2015-12-31 00:45:00,105300s (~1.22 days),12093.937344,5850.89008938329,6243.04725461671,3,0.342230781,2015-12-30 12:15:00,0.882,"Q15",12600,5400,5400,60300s (~16.75 hours),45000s (~12.5 hours),10.542093728,156600s (~1.81 days),3.71867883225,0.051542038,0.00028144625,0.11394929325,0.11394929325,3.0263230805,17.03098422075,84.6855435215,117900,1451404800,1451522700,117900,NA,FALSE,FALSE,FALSE
"20",20,20,20,NA,2015-12-30 23:30:00,2015-12-31 03:30:00,14400s (~4 hours),1325.4258996,1034.12922348256,291.296676117445,2015-12-30 23:30:00,1,0.348568990705882,1.60052985,2015-12-31 00:15:00,1.4814182105,13500s (~3.75 hours),0.370354552625,1.60052985,2015-12-31 00:15:00,2015-12-31 00:30:00,1.4814182105,13500s (~3.75 hours),2015-12-31 01:15:00,2015-12-31 03:30:00,8100s (~2.25 hours),791.7235344,616.875758723735,174.847775676265,0,0.095902063,2015-12-31 01:15:00,0.724,"Q30",6300,3600,3600,0s,8100s (~2.25 hours),1.0037267805,6300s (~1.75 hours),0.9740974605,0.084240881,0.39034039075,0.689745266,4.0996604055,12.24261457375,27.40957205625,96.6063640815,14400,1451518200,1451532600,14400,NA,FALSE,TRUE,FALSE
