"","site","tsfrq","ts1","tsn","alpha","pad","passesbase","passesfilter","rainLinkSpan","th_QslopeAsc","th_QslopeDec","th_Qbase","th_Qmagnitude"
"1","WV_v5",15,2015-11-16 15:15:00,2020-02-01,0.98,2880,5,3,6,0.95,0.1,"Q95","Q10"
"2","WV_v5",15,2015-11-16 15:15:00,2020-02-01,0.98,2880,5,3,6,0.95,0.1,"Q95","Q95"
